,lon,lat,DateTime
0,2.3569999999999998,48.797,2021-02-27 19:08:51
1,2.3569999999999998,48.797,2021-02-28 00:18:32
2,2.3569999999999998,48.797,2021-02-28 11:28:50
3,2.3569999999999998,48.797,2021-03-01 07:31:32
4,2.3569999999999998,48.797,2021-03-01 12:47:52
5,2.3569999999999998,48.797,2021-03-01 13:41:37
6,2.3569999999999998,48.797,2021-03-02 11:00:14
7,2.3569999999999998,48.797,2021-03-02 12:50:07
8,2.3819999999999997,48.836000000000006,2021-03-02 16:09:12
9,2.386,48.832,2021-03-02 16:09:12
10,2.387,48.832,2021-03-02 16:14:26
11,2.386,48.832,2021-03-02 16:14:33
12,2.385,48.832,2021-03-02 16:14:33
13,2.385,48.832,2021-03-02 16:14:59
14,2.386,48.832,2021-03-02 16:14:59
15,2.387,48.832,2021-03-02 16:32:44
16,2.386,48.832,2021-03-02 16:32:46
17,2.3819999999999997,48.836000000000006,2021-03-02 16:32:59
18,2.387,48.833999999999996,2021-03-02 16:32:59
19,2.387,48.833,2021-03-02 16:33:12
20,2.3819999999999997,48.836000000000006,2021-03-02 16:33:13
21,2.387,48.833999999999996,2021-03-02 16:33:13
22,2.386,48.833999999999996,2021-03-02 16:33:17
23,2.387,48.833,2021-03-02 16:33:18
24,2.387,48.833,2021-03-02 16:33:21
25,2.386,48.833999999999996,2021-03-02 16:33:22
26,2.3819999999999997,48.836000000000006,2021-03-02 16:33:27
27,2.386,48.832,2021-03-02 16:33:27
28,2.3569999999999998,48.797,2021-03-02 17:03:00
29,2.3569999999999998,48.797,2021-03-03 00:31:42
30,2.364,48.788999999999994,2021-03-03 12:25:55
31,2.365,48.788999999999994,2021-03-03 12:26:11
32,2.364,48.788000000000004,2021-03-03 12:26:14
33,2.363,48.788000000000004,2021-03-03 12:26:20
34,2.364,48.788999999999994,2021-03-03 13:22:38
35,2.3569999999999998,48.797,2021-03-03 13:46:30
36,2.3569999999999998,48.797,2021-03-03 13:46:56
37,2.2319999999999998,48.838,2021-03-03 21:38:30
38,2.2319999999999998,48.838,2021-03-03 21:38:36
39,2.233,48.838,2021-03-03 21:41:51
40,2.233,48.838,2021-03-03 21:43:30
41,2.233,48.838,2021-03-03 21:45:14
42,2.2319999999999998,48.838,2021-03-03 22:31:14
43,2.2319999999999998,48.838,2021-03-04 11:15:22
44,2.233,48.836999999999996,2021-03-04 11:44:20
45,2.2319999999999998,48.838,2021-03-04 11:44:24
46,2.2319999999999998,48.838,2021-03-04 11:45:44
47,2.231,48.841,2021-03-04 11:47:37
48,2.231,48.841,2021-03-04 11:48:05
49,2.229,48.841,2021-03-04 11:49:11
50,2.229,48.84,2021-03-04 11:50:28
51,2.3680000000000003,48.79600000000001,2021-03-04 12:45:05
52,2.3680000000000003,48.79600000000001,2021-03-04 12:45:57
53,2.3569999999999998,48.797,2021-03-04 13:26:02
54,2.3569999999999998,48.797,2021-03-04 19:01:53
55,2.2319999999999998,48.838,2021-03-04 21:23:10
56,2.233,48.838,2021-03-04 21:43:16
57,2.2319999999999998,48.838,2021-03-04 21:43:20
58,2.2319999999999998,48.838,2021-03-04 21:43:28
59,2.233,48.838,2021-03-04 21:45:16
60,2.233,48.838,2021-03-04 21:48:27
61,2.2319999999999998,48.838,2021-03-04 21:48:29
62,2.233,48.838,2021-03-04 21:48:31
63,2.2319999999999998,48.838,2021-03-04 21:48:35
64,2.233,48.838,2021-03-04 21:48:37
65,2.233,48.838,2021-03-04 21:48:39
66,2.357,48.797,2021-02-27 19:08:51
67,2.357,48.797,2021-02-28 00:18:32
68,2.357,48.797,2021-02-28 11:28:50
69,2.357,48.797,2021-03-01 07:31:32
70,2.357,48.797,2021-03-01 12:47:52
71,2.357,48.797,2021-03-01 13:41:37
72,2.357,48.797,2021-03-02 11:00:14
73,2.357,48.797,2021-03-02 12:50:07
74,2.382,48.83600000000001,2021-03-02 16:09:12
75,2.386,48.832,2021-03-02 16:09:12
76,2.387,48.832,2021-03-02 16:14:26
77,2.386,48.832,2021-03-02 16:14:33
78,2.385,48.832,2021-03-02 16:14:33
79,2.385,48.832,2021-03-02 16:14:59
80,2.386,48.832,2021-03-02 16:14:59
81,2.387,48.832,2021-03-02 16:32:44
82,2.386,48.832,2021-03-02 16:32:46
83,2.382,48.83600000000001,2021-03-02 16:32:59
84,2.387,48.834,2021-03-02 16:32:59
85,2.387,48.833,2021-03-02 16:33:12
86,2.382,48.83600000000001,2021-03-02 16:33:13
87,2.387,48.834,2021-03-02 16:33:13
88,2.386,48.834,2021-03-02 16:33:17
89,2.387,48.833,2021-03-02 16:33:18
90,2.387,48.833,2021-03-02 16:33:21
91,2.386,48.834,2021-03-02 16:33:22
92,2.382,48.83600000000001,2021-03-02 16:33:27
93,2.386,48.832,2021-03-02 16:33:27
94,2.357,48.797,2021-03-02 17:03:00
95,2.357,48.797,2021-03-03 00:31:42
96,2.364,48.789,2021-03-03 12:25:55
97,2.365,48.789,2021-03-03 12:26:11
98,2.364,48.788,2021-03-03 12:26:14
99,2.363,48.788,2021-03-03 12:26:20
100,2.364,48.789,2021-03-03 13:22:38
101,2.357,48.797,2021-03-03 13:46:30
102,2.357,48.797,2021-03-03 13:46:56
103,2.232,48.838,2021-03-03 21:38:30
104,2.232,48.838,2021-03-03 21:38:36
105,2.233,48.838,2021-03-03 21:41:51
106,2.233,48.838,2021-03-03 21:43:30
107,2.233,48.838,2021-03-03 21:45:14
108,2.232,48.838,2021-03-03 22:31:14
109,2.232,48.838,2021-03-04 11:15:22
110,2.233,48.837,2021-03-04 11:44:20
111,2.232,48.838,2021-03-04 11:44:24
112,2.232,48.838,2021-03-04 11:45:44
113,2.231,48.841,2021-03-04 11:47:37
114,2.231,48.841,2021-03-04 11:48:05
115,2.229,48.841,2021-03-04 11:49:11
116,2.229,48.84,2021-03-04 11:50:28
117,2.3680000000000003,48.79600000000001,2021-03-04 12:45:05
118,2.3680000000000003,48.79600000000001,2021-03-04 12:45:57
119,2.357,48.797,2021-03-04 13:26:02
120,2.357,48.797,2021-03-04 19:01:53
121,2.232,48.838,2021-03-04 21:23:10
122,2.233,48.838,2021-03-04 21:43:16
123,2.232,48.838,2021-03-04 21:43:20
124,2.232,48.838,2021-03-04 21:43:28
125,2.233,48.838,2021-03-04 21:45:16
126,2.233,48.838,2021-03-04 21:48:27
127,2.232,48.838,2021-03-04 21:48:29
128,2.233,48.838,2021-03-04 21:48:31
129,2.232,48.838,2021-03-04 21:48:35
130,2.233,48.838,2021-03-04 21:48:37
131,2.233,48.838,2021-03-04 21:48:39
132,2.232,48.838,2021-03-04 21:48:41
133,2.232,48.838,2021-03-04 21:48:47
134,2.233,48.838,2021-03-04 21:57:42
135,2.232,48.838,2021-03-04 22:20:27
136,2.232,48.838,2021-03-05 10:43:48
137,2.232,48.838,2021-03-05 10:51:26
138,2.357,48.797,2021-03-05 12:12:41
139,2.357,48.797,2021-03-06 00:31:20
140,2.357,48.797,2021-03-06 10:08:36
141,2.357,48.797,2021-03-06 19:28:51
142,2.232,48.838,2021-03-06 22:10:14
143,2.233,48.838,2021-03-06 22:13:00
144,2.232,48.838,2021-03-06 22:17:58
145,2.233,48.838,2021-03-06 22:18:10
146,2.233,48.837,2021-03-06 22:19:10
147,2.232,48.838,2021-03-06 22:48:44
148,2.233,48.837,2021-03-06 22:55:16
149,2.23,48.838,2021-03-06 22:55:20
150,2.232,48.838,2021-03-06 22:55:26
151,2.233,48.837,2021-03-06 22:56:25
152,2.233,48.838,2021-03-06 23:01:00
153,2.233,48.838,2021-03-06 23:03:31
154,2.232,48.838,2021-03-06 23:16:09
155,2.232,48.838,2021-03-07 09:58:22
156,2.233,48.838,2021-03-07 14:42:51
157,2.233,48.838,2021-03-07 14:47:12
158,2.232,48.838,2021-03-07 16:25:05
159,2.357,48.797,2021-03-08 09:13:38
160,2.357,48.797,2021-03-08 10:46:18
161,2.364,48.789,2021-03-08 11:47:03
162,2.362,48.789,2021-03-08 11:48:04
163,2.363,48.788,2021-03-08 16:00:16
164,2.364,48.789,2021-03-08 22:33:57
165,2.357,48.797,2021-03-08 23:55:47
166,2.357,48.797,2021-03-09 00:01:18
167,2.357,48.797,2021-03-09 09:39:40
