,lon,lat,DateTime
0,2.357,48.797,19
1,2.357,48.797,0
2,2.357,48.797,11
3,2.357,48.797,7
4,2.357,48.797,12
5,2.357,48.797,13
6,2.357,48.797,11
7,2.357,48.797,12
8,2.382,48.83600000000001,16
9,2.386,48.832,16
10,2.387,48.832,16
11,2.386,48.832,16
12,2.385,48.832,16
13,2.385,48.832,16
14,2.386,48.832,16
15,2.387,48.832,16
16,2.386,48.832,16
17,2.382,48.83600000000001,16
18,2.387,48.834,16
19,2.387,48.833,16
20,2.382,48.83600000000001,16
21,2.387,48.834,16
22,2.386,48.834,16
23,2.387,48.833,16
24,2.387,48.833,16
25,2.386,48.834,16
26,2.382,48.83600000000001,16
27,2.386,48.832,16
28,2.357,48.797,17
29,2.357,48.797,0
30,2.364,48.789,12
31,2.365,48.789,12
32,2.364,48.788,12
33,2.363,48.788,12
34,2.364,48.789,13
35,2.357,48.797,13
36,2.357,48.797,13
37,2.232,48.838,21
38,2.232,48.838,21
39,2.233,48.838,21
40,2.233,48.838,21
41,2.233,48.838,21
42,2.232,48.838,22
43,2.232,48.838,11
44,2.233,48.837,11
45,2.232,48.838,11
46,2.232,48.838,11
47,2.231,48.841,11
48,2.231,48.841,11
49,2.229,48.841,11
50,2.229,48.84,11
51,2.3680000000000003,48.79600000000001,12
52,2.3680000000000003,48.79600000000001,12
53,2.357,48.797,13
54,2.357,48.797,19
55,2.232,48.838,21
56,2.233,48.838,21
57,2.232,48.838,21
58,2.232,48.838,21
59,2.233,48.838,21
60,2.233,48.838,21
61,2.232,48.838,21
62,2.233,48.838,21
63,2.232,48.838,21
64,2.233,48.838,21
65,2.233,48.838,21
66,2.3569999999999998,48.797,19
67,2.3569999999999998,48.797,0
68,2.3569999999999998,48.797,11
69,2.3569999999999998,48.797,7
70,2.3569999999999998,48.797,12
71,2.3569999999999998,48.797,13
72,2.3569999999999998,48.797,11
73,2.3569999999999998,48.797,12
74,2.3819999999999997,48.83600000000001,16
75,2.386,48.832,16
76,2.387,48.832,16
77,2.386,48.832,16
78,2.385,48.832,16
79,2.385,48.832,16
80,2.386,48.832,16
81,2.387,48.832,16
82,2.386,48.832,16
